date | value
2011-01-01 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2d
2011-01-09 | 1
2010-11-17 | 1 // Rate is 0.28
2012-01-11 | 1
2012-01-11 | 0
2012-01-11 | -1
2012-01-11 | 1001
2012-01-11 | 214748364845484745
2021-01-29 | 10
2021-12-29 | 10
2021-00-29 | 10
2021-13-29 | 10
2020-04-30 | 10
2020-03-31 | 10
2020-04-31 | 10
2020-03-32 | 10
2021-03--1 | 10
2020-04-00 | 10
2021-03-50 | 10
2020-02-29 | 10
2021-02-28 | 10
2021-02-29 | 10
2021-02-30 | 10
0000-02-50 | 10
2025-02-50 | 10
202501-29-31 | 10
2001-42-42


error:
value > 1000
